_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
25,"HAZELWOOD AVE & CHATSWORTH AVE PITTSBURGH, PA 15207",1,0,1,0,0,0,2015,1,4,Hazelwood,5,15,42003562300,3,4,2-13,40.4114898392068,-79.9437698097432
26,"1500 BLOCK DAVIS AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,1,4,Brighton Heights,1,27,42003270100,1,1,1-14,40.4810703259512,-80.0379253696126
27,"900 BLOCK BRYN MAWR RD PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,4,Upper Hill,6,5,42003050600,3,2,2-22,40.4519865301769,-79.9587941206057
28,"800 BLOCK BRIGHTRIDGE ST PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,1,4,Perry South,6,25,42003261400,1,1,1-12,40.4627226049912,-80.0175871927848
29,"1500 BLOCK LINCOLN AVE PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,1,4,Lincoln-Lemington-Belmar,9,12,42003561900,2,5,3-18,40.4686838773008,-79.895848339806
30,"2500 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,5,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4509833047534,-79.9738397090324
31,"KELLY ST & N DALLAS AVE PITTSBURGH, PA 15208",2,0,1,1,0,0,2015,1,5,Homewood West,9,12,42003120700,2,5,3-17,40.4572143287336,-79.9043920202324
32,"2500 BLOCK CHAUNCEY DR PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,5,Bedford Dwellings,6,5,42003050900,3,2,2-5,40.4509833047534,-79.9738397090324
33,"<100 BLOCK MERITT AVE PITTSBURGH, PA 15227",1,0,0,1,0,0,2015,1,5,Carrick,4,29,42003290400,3,3,4-23,40.3838377930553,-79.977855851711
34,"1600 BLOCK SANDUSKY CT PITTSBURGH, PA 15212",2,0,2,0,0,0,2015,1,5,Central Northside,6,25,42003220600,1,1,1-10,40.4589236267468,-80.0055084339585
35,"BEAVER AVE & ISLAND AVE PITTSBURGH, PA 15233",1,0,1,0,0,0,2015,1,5,Chateau,6,27,42003980900,1,1,1-8,40.4620696058784,-80.0321344460105
36,"CLIMAX ST & GEARING AVE PITTSBURGH, PA 15210",1,0,1,0,0,0,2015,1,5,Beltzhoover,3,18,42003562400,5,3,4-16,40.4191234596541,-80.0055032641023
37,"CRANE AVE & LOWENHILL ST PITTSBURGH, PA 15216",1,0,1,0,0,0,2015,1,5,Beechview,4,19,42003191600,5,6,4-28,40.417064924253,-80.0218177080157
38,"100 BLOCK FOUNTAIN ST PITTSBURGH, PA 15212",1,0,0,0,0,1,2015,1,5,Fineview,1,25,42003250900,1,1,1-10,40.4587585954775,-80.0019304117184
39,"3700 BLOCK CHARTIERS AVE PITTSBURGH, PA 15204",1,0,1,0,0,0,2015,1,5,Chartiers City,2,20,42003563000,5,6,1-16,40.4577482414309,-80.0727584904733
40,"6500 BLOCK HAMILTON AVE PITTSBURGH, PA 15206",2,0,2,0,0,0,2015,1,5,Larimer,9,12,42003120800,2,5,3-10,40.4589924478051,-79.9142657236002
