_id,ID,STATUS,NAME,LOCATION,MUNIC,ZIPCITY,ZIPCODE,COUNTY,X_COORD,Y_COORD,RESTRICT,CAPACITY,OWNER,PARK_FEE,D_PARK_FEE,M_PARK_FEE,SERV_TRANS,TRANS_OP_1,TRANS_OP_2
15,25,OPEN,RT 22 AT RT 819-SALEM TWP,US 22 (WILLIAM PENN HWY.) AT PA 819,SALEM TOWNSHIP,GREENSBURG,15601,WESTMORELAND,40.40259999999999962483343551866710186004638671875,-79.5222600000000028330759960226714611053466796875,NONE,96,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
16,26,OPEN,WARRENDALE BAYNE RD AT BRUSH CREEK RD-WARRENDALE,WARRENDALE BAYNE RD. AT BRUSH CREEK RD.,MARSHALL TOWNSHIP,WARRENDALE,15086,ALLEGHENY,40.64974000000000131649358081631362438201904296875,-80.095969999999994115569279529154300689697265625,TRANSIT ONLY,112,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,LENZNER COACH LINES,NONE
17,27,OPEN,MCCANDLESS-BLAZIER DR-MCCANDLESS TWP,BLAZIER DR. OFF MCKNIGHT RD.,TOWN OF MCCANDLESS,PITTSBURGH,15237,ALLEGHENY,40.5863700000000022782842279411852359771728515625,-80.0300399999999996225596987642347812652587890625,NONE,300,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
18,28,OPEN,I-279 EXIT 12-PERRYSVILLE AVE AT HOV ENTRANCE-ROSS TWP,PERRYSVILLE AVE. AT I-279 HOV ENTRANCE,ROSS TOWNSHIP,PITTSBURGH,15229,ALLEGHENY,40.5066800000000029058355721645057201385498046875,-80.030519999999995661710272543132305145263671875,NONE,480,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
19,30,OPEN,BAIERL ICE COMPLEX-MARSHALL DR-WARRENDALE,103 MARSHALL DR. OFF COMMONWEALTH DR.,MARSHALL TOWNSHIP,WARRENDALE,15086,ALLEGHENY,40.66854000000000013415046851150691509246826171875,-80.1010299999999944020601105876266956329345703125,TRANSIT ONLY,160,PRIVATE,NO,0,0,YES,LENZNER COACH LINES,NONE
20,32,OPEN,GLENFIELD-KILBUCK ST NEAR RT 65-SEWICKLEY,KILBUCK ST. NEAR RT. 65 (OHIO RIVER BLVD.),GLENFIELD BOROUGH,SEWICKLEY,15143,ALLEGHENY,40.51874000000000108911990537308156490325927734375,-80.1309899999999970532371662557125091552734375,NONE,20,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
21,33,OPEN,NORTH PARK SWIMMING POOL-S RIDGE RD-NORTH PARK,S. RIDGE RD. AT HEMLOCK DR.,TOWN OF MCCANDLESS,ALLISON PARK,15101,ALLEGHENY,40.58762999999999721012500231154263019561767578125,-79.9942400000000048976289690472185611724853515625,NONE,500,COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
22,37,OPEN,I-79 EXIT 68-MOUNT NEBO RD AT RED MUD HOLLOW RD-OHIO TWP,MOUNT NEBO RD. OPPOSITE RED MUD HOLLOW RD.,OHIO TOWNSHIP,SEWICKLEY,15143,ALLEGHENY,40.5524300000000010868461686186492443084716796875,-80.116140000000001464286469854414463043212890625,NONE,68,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
23,38,OPEN,62ND ST-UNDER RT 8 AT RT 28 RAMPS-SHARPSBURG,N. MAIN ST. UNDER THE RAMPS AT RT. 8 AND RT. 28,SHARPSBURG BOROUGH,PITTSBURGH,15215,ALLEGHENY,40.49600699999999875444700592197477817535400390625,-79.93939000000000305590219795703887939453125,NONE,75,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
24,39,OPEN,RT 28 EXIT 14-BULL CREEK RD AT RIDGE RD-FAWN TWP,BULL CREEK RD. AT RIDGE RD.,FAWN TOWNSHIP,TARENTUM,15084,ALLEGHENY,40.61545000000000271711542154662311077117919921875,-79.758610000000004447429091669619083404541015625,NONE,20,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
25,40,OPEN,RT 19 AT RT 228-CRANBERRY TWP,US 19 (PERRY HWY.) AT PA 228 (MARS CRIDER RD.),CRANBERRY TOWNSHIP,CRANBERRY TWP,16066,BUTLER,40.6852200000000010504663805477321147918701171875,-80.100830000000001973603502847254276275634765625,NONE,40,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
26,41,OPEN,I-79 EXIT 83-EVANS CITY-RT 528-JACKSON TWP,"RT. 528 (LINDSAY RD.), WEST OF JO DEENER RD.",JACKSON TOWNSHIP,ZELIENOPLE,16063,BUTLER,40.7594500000000010686562745831906795501708984375,-80.115399999999993951860233210027217864990234375,NONE,335,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,NEW CASTLE AREA TRANSIT AUTHORITY,BUTLER TRANSIT AUTHORITY
27,42,OPEN,RT 28 EXIT 17-S PIKE RD AT SILVERVILLE RD-BUFFALO TWP,RT. 356 (S. PIKE RD.) AT SILVERVILLE RD.,BUFFALO TOWNSHIP,SARVER,16055,BUTLER,40.69254000000000104364517028443515300750732421875,-79.7139399999999938017936074174940586090087890625,NONE,57,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
28,43,OPEN,I-79 EXIT 96-RT 488 AT STANFORD RD-PORTERSVILLE,PA 488 (E. PORTERSVILLE RD.) AT STANFORD RD.,PORTERSVILLE BOROUGH,PORTERSVILLE,16051,BUTLER,40.921649999999999636202119290828704833984375,-80.135030000000000427462509833276271820068359375,NONE,79,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,NEW CASTLE AREA TRANSIT AUTHORITY,NONE
29,44,OPEN,COMMUNITY PARK-ERNIE MASHUDA DR OFF RT 19-CRANBERRY TWP,ERNIE MASHUDA DR. OFF US 19 (PERRY HWY.),CRANBERRY TOWNSHIP,CRANBERRY TWP,16066,BUTLER,40.71220000000000283080225926823914051055908203125,-80.1052700000000044155967771075665950775146484375,NONE,65,PRIVATE,NO,0,0,NO,NONE,NONE
30,45,OPEN,MCBRIDE-RT 8 AT MAHARG RD-PENN TWP,RT. 8 (PITTSBURGH RD.) AT MAHARG RD.,PENN TOWNSHIP,BUTLER,16002,BUTLER,40.79836999999999846977516426704823970794677734375,-79.9295800000000014051693142391741275787353515625,NONE,40,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
31,48,OPEN,NEW CASTLE AREA TRANSIT AUTHORITY-MAHONING AVE-NEW CASTLE,311 MAHONING AVE.,CITY OF NEW CASTLE,NEW CASTLE,16102,LAWRENCE,40.98208000000000339468897436745464801788330078125,-80.3564099999999967849362292326986789703369140625,TRANSIT ONLY,25,NEW CASTLE AREA TRANSIT AUTHORITY,NO,0,0,YES,NEW CASTLE AREA TRANSIT AUTHORITY,NONE
32,51,OPEN,KITTANNING-HILL ST AT INDIANA RD-MANOR TWP,HILL ST. AT INDIANA RD.,MANOR TOWNSHIP,KITTANNING,16201,ARMSTRONG,40.80499999999999971578290569595992565155029296875,-79.513329999999996289261616766452789306640625,NONE,40,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
33,52,OPEN,FRANKLIN VILLAGE-RT 268 AT WESTGATE DR-E FRANKLIN TWP,RT. 268 AT WESTGATE DR.,EAST FRANKLIN TOWNSHIP,KITTANNING,16201,ARMSTRONG,40.8118199999999973215381032787263393402099609375,-79.5477599999999966939867590554058551788330078125,NONE,64,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
34,53,OPEN,SOUTH HILLS VILLAGE GARAGE LRT STA-VILLAGE DR-BETHEL PARK,VILLAGE DR. AT FORT COUCH RD.,MUNICIPALITY OF BETHEL PARK,BETHEL PARK,15102,ALLEGHENY,40.33984000000000236241248785518109798431396484375,-80.053349999999994679455994628369808197021484375,NONE,2200,PORT AUTHORITY OF ALLEGHENY COUNTY,YES,2,22,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
35,54,OPEN,WASHINGTON JUNCTION LRT STA-RT 88 AT MILFORD DR-BETHEL PARK,RT. 88 (LIBRARY RD.) AT MILFORD DR.,MUNICIPALITY OF BETHEL PARK,BETHEL PARK,15102,ALLEGHENY,40.35343999999999908823156147263944149017333984375,-80.02764999999999417923390865325927734375,TRANSIT ONLY,300,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
36,55,OPEN,ST ANNE LRT STA-ROCKWOOD AVE-CASTLE SHANNON,ROCKWOOD AVE. OFF RT. 88 (LIBRARY RD.),CASTLE SHANNON BOROUGH,PITTSBURGH,15234,ALLEGHENY,40.360950000000002546585164964199066162109375,-80.03122999999999365172698162496089935302734375,TRANSIT ONLY,130,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
