DEC_LAT,DEC_LONG
40.286,-79.3818
40.2036,-79.5795
40.3991,-79.5795
40.399,-79.5795
40.1786,-79.8485
40.1886,-79.2805
,
40.5843,-79.7646
40.388,-79.7188
40.3348,-79.718
40.4722,-79.6962
40.4279,-79.6951
40.5014,-79.6792
40.4969,-79.6976
40.4125,-79.6307
40.4249,-79.6346
40.4284,-79.5456
40.2126,-79.591
40.6226,-79.6391
40.3169,-79.6145
40.2833,-79.4888
40.3658,-79.1682
40.2851,-79.3888
40.2926,-79.3298
40.2535,-79.7555
40.1776,-79.53
40.2835,-79.5399
40.1379,-79.5476
40.278,-79.6322
40.3096,-79.4999
40.342,-79.5004
40.2832,-79.4603
40.2347,-79.7736
40.3037,-79.6015
40.2829,-79.4167
40.1239,-79.5552
40.5856,-79.7104
40.1597,-79.8211
40.4881,-79.6118
40.1011,-79.6151
40.359,-79.2751
40.3095,-79.5179
40.3255,-79.6591
40.1927,-79.4842
40.3982,-79.5712
40.4271,-79.5443
40.6016,-79.5717
40.1993,-79.6979
40.3307,-79.5803
40.1495,-79.4286
40.155,-79.4721
40.6461,-79.6593
40.3065,-79.5397
40.5379,-79.5931
40.291,-79.6697
40.5627,-79.7633
40.3288,-79.7304
40.3352,-79.6008
40.3468,-79.6048
40.1488,-79.542
40.32,-79.3952
40.3581,-79.7706
40.5131,-79.5852
40.6407,-79.6563
40.2485,-79.2494
40.4633,-79.6565
40.1655,-79.6014
40.196,-79.5739
40.4894,-79.4541
40.1805,-79.8101
40.621,-79.6422
40.3147,-79.6756
40.3755,-79.7224
40.1683,-79.8181
40.2166,-79.6301
40.1402,-79.8513
40.6352,-79.6529
40.1601,-79.8639
40.5915,-79.7445
40.423,-79.6942
40.4092,-79.3056
40.1995,-79.6011
40.3107,-79.6015
40.2958,-79.394
40.2788,-79.5978
40.3464,-79.5492
40.1941,-79.6968
40.2615,-79.2662
40.1708,-79.7952
40.2745,-79.302
40.6677,-79.6917
40.4875,-79.6969
40.3144,-79.1845
40.4029,-79.5228
40.4273,-79.6961
40.3277,-79.6035
40.1377,-79.5111
40.5771,-79.7356
40.5565,-79.7654
40.5883,-79.747
40.3388,-79.7494
40.4776,-79.6396
40.4414,-79.7024
40.4204,-79.6928
40.289,-79.394
40.2871,-79.3697
40.2053,-79.5274
40.1327,-79.8613
40.3241,-79.7014
40.2761,-79.6203
40.1662,-79.6198
40.2844,-79.3936
40.3104,-79.6269
40.1583,-79.8218
40.1269,-79.6017
40.3102,-79.6773
40.3455,-79.5708
40.3387,-79.5403
40.5879,-79.7059
40.2971,-79.4794
40.3131,-79.4936
40.2051,-79.7535
40.3292,-79.727
40.5938,-79.6354
40.1384,-79.8426
40.2016,-79.8349
40.3854,-79.7047
40.3271,-79.7169
40.6351,-79.6528
40.1606,-79.7621
40.3401,-79.7253
40.1457,-79.8426
40.3532,-79.6534
40.3419,-79.6324
40.6177,-79.621
40.3284,-79.6003
40.2548,-79.1741
40.6002,-79.7147
40.3242,-79.7568
40.1914,-79.8525
40.3571,-79.7372
40.3559,-79.7698
40.5684,-79.746
40.5774,-79.7504
,
40.2109,-79.4709
40.2138,-79.4089
40.3227,-79.3615
40.3134,-79.579
40.32,-79.6558
40.3275,-79.7194
40.4885,-79.6006
40.3964,-79.7191
40.3358,-79.745
40.5669,-79.7543
40.3181,-79.7541
40.413,-79.5726
40.2867,-79.5324
40.4273,-79.5127
40.5384,-79.6448
40.6635,-79.6873
,
40.3937,-79.1575
40.2735,-79.6683
40.2604,-79.6133
40.3296,-79.7343
40.4885,-79.634
40.3291,-79.6211
40.2093,-79.7657
40.201,-79.6821
40.3452,-79.6345
40.5001,-79.6815
40.2344,-79.4945
40.1162,-79.3963
40.1216,-79.3988
40.2245,-79.6068
40.4116,-79.5714
40.2929,-79.5401
40.6047,-79.6746
40.3242,-79.7039
40.3008,-79.5041
40.2061,-79.5853
40.5557,-79.7595
40.2463,-79.7693
40.2925,-79.5731
40.1578,-79.5609
40.3055,-79.5783
40.1298,-79.8759
40.3192,-79.5561
40.3077,-79.3724
40.1894,-79.8198
40.3296,-79.7343
40.3034,-79.5382
40.58,-79.7615
40.5831,-79.7109
40.2152,-79.345
40.2952,-79.4215
40.2898,-79.5422
40.4103,-79.5959
40.2672,-79.7649
40.2854,-79.5892
40.2926,-79.5589
40.273,-79.5951
40.3157,-79.3332
40.12,-79.2782
40.3296,-79.7343
40.2994,-79.5432
40.4339,-79.6623
40.3024,-79.4982
40.2898,-79.3585
40.476,-79.4514
40.319,-79.6883
40.154,-79.5523
40.3246,-79.578
40.2881,-79.5568
40.1202,-79.3984
40.1216,-79.3988
40.1691,-79.4977
40.5498,-79.7408
40.1537,-79.8512
40.3314,-79.7404
40.3246,-79.7563
40.1501,-79.451
40.3937,-79.7297
40.4075,-79.7278
40.235,-79.2159
40.2988,-79.5399
40.3296,-79.7343
40.5844,-79.7009
40.13,-79.8777
40.5207,-79.6523
40.1603,-79.549
40.2975,-79.5586
40.5763,-79.6129
40.3408,-79.5817
40.2239,-79.5379
40.2898,-79.3815
